time,xi_x,xi_y,xi_z,d_var_theta_x,d_var_theta_y,d_var_theta_z,var_theta_x,var_theta_y,var_theta_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.81972870396089,-34.81972870396089,-34.81972870396089,0.6518027129603912,0.6518027129603912,0.6518027129603912,-0.0,-0.0,-0.0
0.01,-0.02994398498762424,-0.04756421112060601,-0.42371330746175756,8.918358725945168,12.732284268986637,50.316139297885364,0.08918358725945169,0.12732284268986638,0.5031613929788536,-22.098547821271794,-22.080784879814736,-21.7046287543154,0.4308172347476732,0.4309948641622438,0.43475642541723714,1.4755946218162435,1.8588296632653287,8.819486255483815
0.02,-0.05389206951717279,-0.09061740389844183,-0.1856217740750875,16.529533068540434,24.71499033360501,26.600995021223763,0.254478917944856,0.37447274602591646,0.7691713431910913,-14.256920609085292,-14.226386276277093,-14.262570596743904,0.2882480286568203,0.28873100139947283,0.29213071944979807,1.769537153306514,2.504416227900462,4.301440906389612
0.03,-0.11993907667856207,-0.20246343426057317,-0.18200490624781407,28.095059114255992,42.751736056621205,25.32368207369831,0.5354295090874159,0.8019901065921284,1.0224081639280744,-9.276386846943948,-9.21030332030871,-9.34653519246887,0.19548416018738082,0.19662796819638573,0.19866536752510938,2.926309199801436,4.465362355151399,4.092039607938493
0.04,-0.2022303949091595,-0.3001677903662925,-0.18419904891109273,43.23229700374963,57.84838242404343,26.08679942241985,0.9677524791249122,1.3804739308325629,1.283276158152273,-6.067547750731218,-6.007749781277857,-6.191681937799942,0.13480868268006865,0.13655047038360715,0.13674854814710996,4.3678371318795115,6.14866489326912,4.039092627979731
0.05,-0.2775276529411005,-0.33949289093807344,-0.18005127473568816,59.1901522035851,65.2735393096902,28.646957796982093,1.5596540011607631,2.033209323929465,1.569745736122094,-3.9865366707037238,-3.981630331743615,-4.147562853506039,0.0949433159730314,0.096734167066171,0.09527291961204956,5.678048360032831,6.796148245510501,3.900555307943051
0.06,-0.27685370101116424,-0.27726684637420096,-0.16139010442587876,66.40102951186618,59.9847010348792,32.33155913909084,2.223664296279425,2.633056334278257,1.8930613275130024,-2.691106606979153,-2.7484808938258456,-2.8172025500948186,0.06803224990323987,0.06924935812791254,0.06710089411110137,5.625994784393826,5.6352573792875,3.512933512798625
0.07,-0.16762949088448265,-0.13517021609192037,-0.10098718303119014,59.6597427848357,44.04886949352515,31.260648650909012,2.820261724127782,3.0735450292135083,2.2056678140220924,-1.9377210457105574,-2.0089423172303156,-1.9747193399013525,0.0486550394461343,0.049159934955609386,0.047353700712087846,3.601702286049071,2.99581710508896,2.341848401488636
0.08,-0.061264170374415006,-0.025831780728774234,-0.033680919493506156,50.80073739134102,29.62608971477458,27.280854566670588,3.328269098041192,3.369805926361254,2.4784763596887984,-1.4306877347680302,-1.4822995994329484,-1.4174282728029757,0.034348162098453996,0.0343369389612799,0.03317941798405809,1.5384101608817196,0.7828420752463287,0.9570158057264961
0.09,-0.0033268601300902034,0.027730967410683593,0.009063785053653906,45.18760153933448,19.60367915697492,23.84725639880232,3.780145113434537,3.565842717931003,2.7169489236768216,-1.0431851621213775,-1.0163883143826704,-1.0013903548122773,0.023916310477240223,0.024173055817453194,0.023165514435935314,0.1621147464424887,-0.811429303122562,-0.3463037876839152
0.1,0.02397412314364722,0.04543750218478326,0.027578378211842836,41.3869529735694,13.152322932905172,22.259622025074854,4.194014643170231,3.697365947260055,2.93954514392757,-0.6977389114341739,-0.683798435004211,-0.6708561452784412,0.016938921362898485,0.017335071467411083,0.0164569529831509,-0.7151161447294265,-1.1865775542835457,-0.796891604288287
