time,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi
0.01,2.5,4.0,1.0,2.5132741228718345,1.5389365549774318e-16,1.5707963267948966,-0.9437193165157843,1.0471975511965976,0.0
0.02,2.5251320797667054,3.9998420884076324,1.0157073173118207,2.513075685312435,-0.03158190286580563,1.5706025415502431,-1.0471975511965976,1.0471975511965976,0.019738689291128445
0.03,2.550260190886675,3.9993683785666,1.0314107590781283,2.5124804039698265,-0.0631588185830393,1.5700212336298927,-0.802820550880834,1.0471975511965976,0.03947426161439968
0.04,2.575380365339869,3.9985789452811784,1.0471064507096426,2.511488372845835,-0.09472576079065904,1.569052546462876,-0.4790584589762203,1.0471975511965976,0.059203600494161845
0.05,2.600488636359539,3.997473913212035,1.0627905195293135,2.510099748593674,-0.12627774470255348,1.5676967190582567,-0.28952217195798646,0.824064099782083,0.07892359043909607
0.060000000000000005,2.625581039058627,3.996053456856543,1.078459095727845,2.5083147504932106,-0.15780978789470193,1.5659540859461594,-0.17583973954099485,0.6504113077843315,0.09863111743418866
0.07,2.6506536110558656,3.9943178005212276,1.0941083133185143,2.506133660416338,-0.18931691109195212,1.5638250770952289,-0.11829287928609887,0.6361687763013579,0.11832306943247023
0.08,2.6757023931014863,3.992267218286345,1.1097343110910454,2.503556822782462,-0.22079413895431024,1.5613102178065421,-0.09260097598657901,0.6810436754936188,0.13799633684644388
0.09,2.7007234297024296,3.9899020339626006,1.1253332335643043,2.500584644504117,-0.2522365008626,1.5584101285839977,-0.06773910492879064,0.700153264057365,0.15764781303912517
0.09999999999999999,2.725712769746963,3.987222621040017,1.1409012319375826,2.497217594922708,-0.2836390317033859,1.5551255249812166,-0.03932430714294981,0.6761278024288214,0.17727439481461615
0.10999999999999999,2.7506664671286085,3.984229402628956,1.156434465040231,2.4934562057343963,-0.3149967726530173,1.5514572174249892,0.004460826277152953,0.6512328943499588,0.19687298290813593
0.11999999999999998,2.775580581369276,3.980922851393302,1.1719291002794094,2.4893010709061376,-0.3463047719606888,1.5474061110153148,0.04883636009452363,0.6201541587124716,0.2164404824754305
0.12999999999999998,2.8004511782415142,3.977303489475828,1.1873813145857246,2.4847528465818898,-0.37755808573037497,1.542973205302082,0.09596948245025945,0.5957927238232901,0.23597380358148454
0.13999999999999999,2.825274330389767,3.973371888415736,1.2027872953565124,2.4798122509789975,-0.4087517787015327,1.5381595940384443,0.14484536391872396,0.5690783180950217,0.25546986168845787
0.15,2.8500461179505523,3.969128669058411,1.2181432413965425,2.47448006427478,-0.43988092502843196,1.532966464910954,0.19657602900220275,0.5362922637207663,0.27492557814277013
0.16,2.874762629171449,3.9645745014573777,1.2334453638559053,2.4687571284833307,-0.4709406090580083,1.5273950992465164,0.25088711866264574,0.49783879660100244,0.29433788066125516
0.17,2.899419961028814,3.9597101047684937,1.2486898871648549,2.4626443473225534,-0.5019259261060971,1.521446871696243,0.3082900811019772,0.45404802109764253,0.3137037038163109
0.18000000000000002,2.9240142198441093,3.954536247136387,1.263873049965373,2.456142686071455,-0.5328319832319444,1.5151232498962772,0.3740311241758507,0.4052989609237711,0.33301998951996525
0.19000000000000003,2.9485415218987625,3.9490537455731545,1.2789911060392294,2.4492531714177166,-0.563653900010855,1.5084257941056751,0.43087944138650086,0.34782149261143647,0.3522836875067843
0.20000000000000004,2.9729979940474496,3.943263465829348,1.294040325232304,2.441976891295568,-0.5943868093048702,1.501356156821437,0.48336457575121283,0.2818321008138405,0.37149175581554394
0.21000000000000005,2.9973797743297097,3.937166322257262,1.3090169943749475,2.434314994713989,-0.6250258580313455,1.4939160823707778,0.5319142903185932,0.20745232156883356,0.3906411612695912
0.22000000000000006,3.021683012579794,3.9307632776665478,1.3239174181981495,2.4262686915752707,-0.6555662079293086,1.4861074064807398,0.5753720480489302,0.12462352781377355,0.4097288799558181
0.23000000000000007,3.0459038710346507,3.9240553431721716,1.3387379202452916,2.417839252483953,-0.6860030363234753,1.477932055825255,0.6121028860571515,0.03360146979332428,0.428751897702172
0.24000000000000007,3.070038524939952,3.917043578034752,1.3534748437792572,2.409028008546187,-0.7163315368858062,1.4693920475497675,0.6402707975340212,-0.0645565825580756,0.44770721055362905
0.25000000000000006,3.09408316315407,3.909729089493286,1.3681245526846781,2.3998363511595326,-0.746546920394485,1.4604894887735322,0.6582269006814366,-0.1677824313157218,0.46659182524655324
0.26000000000000006,3.118033988749895,3.9021130325903073,1.3826834323650898,2.3902657317932445,-0.7766444154901864,1.4512265760697154,0.6645639702639333,-0.2729740319082888,0.48540275968136665
0.2700000000000001,3.141887219614419,3.8941966099894882,1.3971478906347807,2.380317661759067,-0.8066192694295349,1.4416055949234228,0.6592190959606063,-0.37698370823544863,0.5041370433934593
0.2800000000000001,3.1656390890459734,3.8859810717857286,1.4115143586051089,2.36999371197258,-0.8364667488356131,1.4316289191677902,0.6440865524624356,-0.4783690361644466,0.5227917180222581
0.2900000000000001,3.1892858463490343,3.8774677153077484,1.4257792915650729,2.359295512705134,-0.8661821404454194,1.4212990103982766,0.6204948181674135,-0.5767163109599236,0.5413638377783873
0.3000000000000001,3.2128237574265013,3.8686578849132243,1.4399391698559152,2.3482247533264102,-0.8957607518541476,1.4106184173653005,0.5868980686972469,-0.6787810621194703,0.5598504699088425
0.3100000000000001,3.2362491053693563,3.8595529717765027,1.453990499739547,2.3367831820376517,-0.9251979122561704,1.3995897753453763,0.5485706124349432,-0.7599289812109443,0.5782486951601067
