time,d_delta_roll,d_delta_pitch,d_delta_yaw,delta_roll,delta_pitch,delta_yaw
0.29,-1.1491435522754943,2.0655192021685,1.0304899904054707,-1.627263861236779,-1.8836830200106591,-0.5092361085430086
0.3,-1.1085270449877038,5.322328199124446,1.2641394909325752,-1.6383491316866559,-1.8304597380194148,-0.49659471363368285
0.31,-1.1196202531173416,6.648701183751765,1.4444730847589056,-1.6495453342178292,-1.7639727261818972,-0.4821499827860938
0.32,-0.9132644470621898,4.514004627177565,1.5694620506452897,-1.6586779786884511,-1.7188326799101215,-0.4664553622796409
0.33,-0.36961207670605756,3.382667263767215,1.634010801251975,-1.6623740994555116,-1.6850060072724493,-0.4501152542671212
0.34,0.32081222470901594,2.945140371137217,1.6425627478134686,-1.6591659772084215,-1.655554603561077,-0.4336896267889865
0.35000000000000003,0.979650478896458,2.1332254681128893,1.6226790609852135,-1.649369472419457,-1.634222348879948,-0.4174628361791343
0.36,1.6379352546734651,1.6155976356403565,1.5111380566524144,-1.6329901198727224,-1.6180663725235445,-0.40235145561261015
0.37,2.425992583326016,2.045212976489238,1.3836970409793972,-1.6087301940394623,-1.5976142427586522,-0.3885144852028162
0.38,3.121132242859884,2.5940120822665396,1.2582430188876852,-1.5775188716108635,-1.5716741219359867,-0.37593205501393934
0.39,3.6089344476867504,2.4375813322725746,1.1421018032027832,-1.541429527133996,-1.547298308613261,-0.3645110369819115
0.4,3.9545943578557474,0.16409231480673636,1.0153638393286764,-1.5018835835554385,-1.5456573854651936,-0.35435739858862475
0.41000000000000003,4.29171611242826,0.15320577204462715,0.8135489388942492,-1.4589664224311558,-1.5441253277447473,-0.34622190919968227
0.42,4.6507463299329235,0.5358361964112746,0.6672191623930044,-1.4124589591318266,-1.5387669657806347,-0.3395497175757522
0.43,4.782825211782072,0.946437443960991,0.5379805541231928,-1.3646307070140058,-1.5293025913410248,-0.3341699120345203
0.44,4.712791350980747,1.3648068734690009,0.43660481408295726,-1.3175027935041983,-1.5156545226063347,-0.3298038638936907
0.45,4.512164627640255,1.7732108695169035,0.36025324108294443,-1.2723811472277957,-1.4979224139111658,-0.3262013314828613
0.46,4.249997548511995,2.157703315427823,0.30706827174143037,-1.2298811717426759,-1.4763453807568876,-0.323130648765447
0.47000000000000003,3.988908965863075,2.5080634814279197,0.2742257110816908,-1.189992082084045,-1.4512647459426085,-0.3203883916546301
0.48,3.781026830080753,2.81748066975074,0.2591102448161977,-1.1521818137832376,-1.423089939245101,-0.31779728920646816
0.49,3.669742827472711,3.082152953562013,0.25928629300457606,-1.1154843855085104,-1.3922684097094808,-0.3152044262764224
0.5,3.6892038798521316,3.3008566498724345,0.2725064746975472,-1.0785923467099892,-1.3592598432107565,-0.31247936152944694
0.51,3.847042232238527,3.4744813064037166,0.29661766096488296,-1.0401219243876039,-1.3245150301467195,-0.3095131849197981
0.52,3.813771379809828,3.6055318533699645,0.32944242041018534,-1.0019842105895056,-1.2884597116130199,-0.30621876071569626
0.53,3.7707125253318003,3.6975826839565635,0.3680079056252705,-0.9642770853361876,-1.2514838847734542,-0.30253868165944353
0.54,3.0447559419644046,3.7550765873028324,0.4128734341844911,-0.9338295259165436,-1.2139331189004259,-0.2984099473175986
0.55,3.330482743666302,3.7823217199707675,0.45882206952197535,-0.9005246984798805,-1.1761099017007182,-0.2938217266223789
0.56,3.275713904648785,-35.070685882057056,0.5016775167984668,-0.8677675594333927,-1.5268167605212888,-0.2888049514543942
0.5700000000000001,-22.135763730965383,-26.611594524788803,-0.007661911703133573,-1.0891251967430464,-1.7929327057691768,-0.28888157057142555
0.58,-14.360777863523776,4.709524725641554,0.842540382748852,-1.2327329753782843,-1.7458374585127614,-0.28045616674393703
0.59,1.559649345030354,4.991402386784489,0.8432259194538851,-1.2171364819279809,-1.6959234346449166,-0.2720239075493982
0.6,-0.31885439825646245,4.921683937284966,0.928567745376478,-1.2203250259105454,-1.646706595272067,-0.2627382300956334
0.61,-4.423717895393494,4.881857306978272,1.0036404998515538,-1.2645622048644802,-1.5978880222022842,-0.25270182509711786
0.62,-3.733689651036456,4.81876356496236,1.0577011188607308,-1.3018991013748449,-1.5497003865526606,-0.24212481390851054
0.63,-1.7697438273513582,0.8626443613120252,1.0939858079288085,-1.3195965396483584,-1.5410739429395404,-0.23118495582922247
0.64,1.8698434701258346,-2.195144562650026,1.0477657939920422,-1.3008981049471,-1.5630253885660406,-0.22070729788930205
0.65,4.652433713658786,1.7069505083545797,1.0056271917264676,-1.2543737678105122,-1.5459558834824947,-0.21065102597203736
0.66,4.780420832345538,5.00720981672074,0.9592060016071026,-1.206569559487057,-1.4958837853152873,-0.20105896595596634
0.67,-1.2641816816724774,-9.476261395479975,0.8829334357012228,-1.2192113763037817,-1.590646399270087,-0.19222963159895412
0.68,2.448579668750246,1.8578810791781422,0.9091366054751477,-1.1947255796162792,-1.5720675884783055,-0.18313826554420265
0.6900000000000001,1.3362766329896978,-6.398055334216998,0.8666292751007845,-1.1813628132863823,-1.6360481418204755,-0.17447197279319482
0.7000000000000001,1.8329612566274047,0.4026844582484843,0.7031194835441064,-1.1630332007201083,-1.6320212972379906,-0.16744077795775375
0.71,-3.45357485974888,-11.554456332274464,0.7709733592324386,-1.1975689493175972,-1.7475658605607352,-0.15973104436542937
0.72,4.749574015951994,4.903491520864908,0.7724972823245903,-1.1500732091580772,-1.698530945352086,-0.15200607154218346
0.73,0.25732182118592917,-5.8890062927831375,0.6946730297256779,-1.147499990946218,-1.7574210082799173,-0.14505934124492667
0.74,-0.5225389510043783,-4.1807576869517415,0.5810786256219355,-1.1527253804562618,-1.7992285851494347,-0.1392485549887073
0.75,-2.2480769706388157,-5.908511721660735,0.6670764733418633,-1.17520615016265,-1.858313702366042,-0.13257779025528868
0.76,3.3383526880801813,3.4560729366462075,0.6063150572999345,-1.1418226232818482,-1.82375297299958,-0.12651463968228932
0.77,2.5941606282440848,1.781272316601508,0.5717781997523994,-1.1158810169994073,-1.805940249833565,-0.12079685768476532
0.78,-11.02103333668299,-17.34008437777918,0.5184686923478368,-1.2260913503662372,-1.979341093611357,-0.11561217076128695
0.79,-0.13391804315743006,-0.037576989930379945,0.5287775089528683,-1.2274305307978115,-1.9797168635106608,-0.11032439567175827
0.8,1.3062847950906438,0.8373929691122974,0.5245532384782893,-1.214367682846905,-1.9713429338195378,-0.10507886328697537
0.81,3.8152403129251926,6.489884184380813,0.4612295455349178,-1.176215279717653,-1.9064440919757297,-0.10046656783162619
0.8200000000000001,-0.05023705252026556,1.09084387230509,0.4443778201565042,-1.1767176502428558,-1.8955356532526788,-0.09602278963006115
0.8300000000000001,2.5947433821891113,5.298389831186946,0.4213960295175119,-1.1507702164209648,-1.8425517549408092,-0.09180882933488603
0.84,2.255011745805785,-3.1837969077531234,0.3921006887134815,-1.128220098962907,-1.8743897240183405,-0.08788782244775122
0.85,-0.9949022679398309,-11.699699272653504,0.3732025063158698,-1.1381691216423053,-1.9913867167448756,-0.08415579738459252
0.86,-3.543162287679417,-3.734894062457191,0.3904400217318391,-1.1736007445190995,-2.0287356573694475,-0.08025139716727413
0.87,-4.620693819618942,4.3334474178715965,0.39810575518081626,-1.2198076827152888,-1.9854011831907314,-0.07627033961546596
0.88,-3.149403314958393,6.47848891100138,0.3599217163343469,-1.2513017158648727,-1.9206162940807177,-0.0726711224521225
0.89,-1.1611695893071152,4.162833619169056,0.33982220052757284,-1.262913411757944,-1.8789879578890272,-0.06927290044684677
0.9,2.6420397438505536,-0.20777905805347352,0.28566261920684777,-1.2364930143194384,-1.8810657484695619,-0.06641627425477829
0.91,-0.7098096271858498,1.1349201618937084,0.1818021780282279,-1.243591110591297,-1.8697165468506247,-0.06459825247449602
0.92,-0.30429079385094226,-3.470968488082068,0.2753513627672552,-1.2466340185298064,-1.9044262317314453,-0.06184473884682347
0.93,3.5984043110600092,5.7785672950412685,0.04931789741375037,-1.2106499754192064,-1.8466405587810326,-0.061351559872685965
0.9400000000000001,3.923610090882866,4.601788986191196,0.049251503377176487,-1.1714138745103777,-1.8006226689191207,-0.0608590448389142
