time,in1,in2,in3,in1_obs,in2_obs,in3_obs,out1,out2,out3,out1_obs,out2_obs,out3_obs
0.01,0.0,0.0,0.0,0.0,0.0,0.0,-1.875,0.8749999999999999,-1.875,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,-1.8602710600374155,0.8851410226223724,-1.851290633100869,-0.9437860042568156,1.0706964253254148,2.6367098058183904
0.03,0.0,0.0,0.0,0.0,0.0,0.0,-1.8443604362625279,0.8951434804333354,-1.8272889259499296,0.6989797166300933,1.2168715109516386,1.3393818092283696
0.04,0.0,0.0,0.0,0.0,0.0,0.0,-1.8272714824849747,0.9050070030980537,-1.8029986686949775,0.6206179275929162,1.5634447924981159,1.0010347087267344
0.05,0.0,0.0,0.0,0.0,0.0,0.0,-1.809008298887697,0.9147312421256887,-1.7784236970492147,0.6167359955978068,1.9912960724792232,0.7711823115539747
0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,-1.7895757304941684,0.924315870876696,-1.7535678916855464,0.6374965650489273,2.4778649282207694,0.6329701655804199
0.07,0.0,0.0,0.0,0.0,0.0,0.0,-1.7689793651646646,0.9337605845666808,-1.7284351776237774,0.5910489635804765,2.8492043919548258,0.49795097920349035
0.08,0.0,0.0,0.0,0.0,0.0,0.0,-1.7472255311226739,0.9430651002668063,-1.7030295236108046,0.4383712442016912,2.9850358011902793,0.33892099130740105
0.09,0.0,0.0,0.0,0.0,0.0,0.0,-1.724321294012846,0.9522291569007632,-1.6773549414939097,-0.3252302772137928,2.8679251745000465,-0.3891297597655819
0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.700274453492165,0.9612525152382972,-1.6514154855872376,-0.4254561017645194,2.701724470455516,-0.4316961294825238
0.10999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.675093539356341,0.9701349578853022,-1.6252152520315755,-0.661186182530701,2.2757251792522086,-0.6063634002642981
0.11999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-1.6487878072036934,0.9788762892704791,-1.5987583781475248,-0.8912462941662931,1.860005365808713,-0.7790328872983632
0.12999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-1.6213672336391038,0.9874763356285654,-1.5720490417821693,-1.106340295332895,1.4703086544919035,-0.9506494391877655
0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.5928425110209015,0.9959349449801403,-1.545091460649346,-1.2916258928679896,1.1346412519271252,-1.1084206495413296
0.15,0.0,0.0,0.0,0.0,0.0,0.0,-1.563225041753828,1.0042519871080122,-1.5178898916636174,-1.444960298171101,0.8579529317761655,-1.2488925284280967
0.16,0.0,0.0,0.0,0.0,0.0,0.0,-1.5325269321315311,1.0124273535301882,-1.4904486302680575,-1.5678061145856703,0.6371175408983203,-1.3706023054022598
0.17,0.0,0.0,0.0,0.0,0.0,0.0,-1.5007609857322992,1.02046095746944,-1.4627720097559496,-1.6635682783446537,0.4646674040581733,-1.4739113867556886
0.18000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.4679406963720554,1.0283527338194667,-1.43486440058651,-1.7360228801692006,0.3324314731150414,-1.5599321736596203
0.19000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-1.4340802406188917,1.0361026391076626,-1.4067302096947423,-1.788741048944043,0.23301344839469346,-1.63010050787741
0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.3991944698737058,1.043710651454503,-1.3783738797955296,-1.8248601680402223,0.16028035648851835,-1.6859208368874676
0.21000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,-1.3632989020217825,1.0511767705295465,-1.3497998886820806,-1.8470424695995085,0.10934813127961109,-1.7288540497501554
0.22000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,-1.326409712660432,1.0585010175040737,-1.3210127485188317,-1.857503569246689,-0.08438986436642386,-1.7602683034649085
0.23000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,-1.2885437259080559,1.065683435000362,-1.292017005128926,-1.8581837033304898,0.07660703958026502,-1.7817094076219189
0.24000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,-1.2497184048002923,1.0727240870376136,-1.262817237276374,-1.849954464531795,-0.07307165544832588,-1.7932325037801125
0.25000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,-1.2099518412791368,1.0796230589745428,-1.2334180559430148,-1.834724470499973,0.090173633162187,-1.7967566341541228
0.26000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,-1.1692627457812101,1.0863804574486342,-1.2038241036003863,-1.8135504897617283,0.10174103392554845,-1.7936656838716725
0.2700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.12767043643158,1.092996410312087,-1.1740400534766275,-1.7868775913906192,0.120607747074291,-1.7838801026929363
0.2800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.0851948278498087,1.099471066564449,-1.1440706088185206,-1.7558589695530114,0.1462307170100185,-1.7693626216375222
0.2900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-1.0418564195751328,1.1058045962819634,-1.1139205021487941,-1.7204579296656686,0.17783220506307004,-1.7496808611041479
0.3000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.997676284117934,1.1119971905436337,-1.083594494518802,-1.6812859420505708,0.2142118376101942,-1.7256490468018073
0.3100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.9526760546448834,1.1180490613540224,-1.0530973747566998,-1.6387742188273542,0.25433276347608386,-1.6978089367991211
