time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.671253859356543,-16.671253859356543,-16.671253859356543,0.8332874614064345,0.8332874614064345,0.8332874614064345,0.0,0.0,0.0
0.01,0.040921319353398995,0.03515664489083297,0.48991642896712223,7.967943996850382,9.922259200479344,57.18578119311822,0.07967943996850382,0.09922259200479344,0.5718578119311822,-13.583875351455726,-13.589640025918293,-13.134880241842003,0.6974487078918772,0.6973910611472516,0.7019386589880144,1.3339872591633528,1.2585791769132562,6.425995480533188
0.02,0.08917109506077603,0.08372567044621437,0.2922094858324563,17.427134850350047,21.911306427084178,41.19954446960599,0.2539507884720043,0.3183356562756352,0.9838532566272422,-11.120485448760114,-11.124916623259608,-10.996468148347821,0.586243853404276,0.5861418949146555,0.5919739775045363,1.8667872416764515,1.7891409513149499,4.465366442061869
0.03,0.14561540303397896,0.14896564869401308,0.23290686690725004,26.888032803112278,35.136746701868255,36.8763126930547,0.5228311165031271,0.6697031232943178,1.3526163835577893,-9.118622716299097,-9.113495490467002,-9.131206475896747,0.495057626241285,0.49500694000998546,0.5006619127455688,2.5574262586458927,2.603831737393615,3.6928834817462075
0.04,0.20407535360264728,0.2309434418782601,0.19360707448545966,35.705830624679976,50.19849515559187,33.32010534420174,0.8798894227499268,1.1716880748502365,1.6858174369998067,-7.469293374863777,-7.441537945414925,-7.577837302567175,0.42036469249264724,0.42059156055583624,0.42488353971989706,3.2433383703106338,3.572567709681121,3.1157001049868085
0.05,0.27095710643139936,0.34600990781275165,0.1706155929036297,44.65022997673375,69.25101782385191,30.7058152404774,1.3263917225172643,1.8641982530887558,1.9928755894045806,-6.085574086941028,-6.014557220808811,-6.266254318936737,0.359508951623237,0.3604459883477481,0.3622209965305297,3.9554186888711915,4.724824517254563,2.73784426965935
0.06,0.34637116897134623,0.5066063030572128,0.15533520615995555,53.71939963158449,94.02899404185398,28.363236723760362,1.863585718833109,2.8044881935072956,2.276507956642184,-4.916429695770864,-4.773219897962303,-5.156724871632142,0.31034465466552835,0.31271378936812505,0.3106537478142083,4.667219632897052,6.095332179308525,2.4677651420209723
0.07,0.42852706593154055,0.7321780727075904,0.16432810525179242,62.02016467458647,126.2528361168859,32.15385763873961,2.4837873655789737,4.0670165546761545,2.59804653302958,-3.932375148949529,-3.672559422470708,-4.202295133137298,0.27102090317603306,0.275988195143418,0.26863079648283533,5.371427755421433,7.9665209096933385,2.5388690290233233
0.08,0.41872164010908763,0.8033955832978474,0.16892252875333424,61.07338853780681,142.0491689439686,39.20727139259336,3.0945212509570417,5.4875082441158405,2.990119246955514,-3.21030431982111,-2.918424669360755,-3.415433524994284,0.23891785997782194,0.24680394844981043,0.23447646123289248,5.245337011232054,8.55380466158259,2.5588575695500904
0.09,0.3027318061255886,0.5861766191698798,0.09212713746868717,49.43916869756028,126.33254243283697,37.34640897086656,3.5889129379326445,6.75083366844421,3.3635833366641794,-2.726293029593529,-2.590093754599742,-2.8540930922401357,0.21165492968188665,0.220903010903813,0.2059355303104911,4.112059885064958,6.6544529434698205,1.446029643852365
