time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
0.0,-14.3155424461227,-11.802268323250866,-9.380919273275719,-0.143155424461227,-0.11802268323250865,-0.09380919273275719
0.01,-13.915500370963784,-11.431308813442302,-8.731046979035659,-0.2823104281708648,-0.23233577136693168,-0.1811196625231138
0.02,-13.462916422173528,-10.95935329747662,-8.264628236098444,-0.41693959239260014,-0.3419293043416979,-0.2637659448840982
0.03,-12.911242931130928,-10.31400509040815,-7.818790149396841,-0.5460520217039094,-0.4450693552457794,-0.34195384637806664
0.04,-12.24224963858968,-9.524933888750866,-7.390778961542378,-0.6684745180898062,-0.540318694133288,-0.4158616359934904
0.05,-11.448107186266052,-8.681185307979248,-6.971584975875292,-0.7829555899524667,-0.6271305472130805,-0.48557748575224335
0.06,-10.60383432808553,-7.906538488910619,-6.55035216286144,-0.888993933233322,-0.7061959321021867,-0.5510810073808577
0.07,-9.828095929606716,-7.288665884493922,-6.146642243113277,-0.9872748925293892,-0.779082590947126,-0.6125474298119905
0.08,-9.13305133737609,-6.8033601232824985,-5.767596397819919,-1.07860540590315,-0.8471161921799509,-0.6702233937901897
0.09,-8.492704951646525,-6.410080639232299,-5.407769703033743,-1.1635324554196154,-0.9112169985722739,-0.7243010908205272
0.1,-7.907622285914892,-6.089407381751029,-5.0723150502817,-1.2426086782787642,-0.9721110723897842,-0.7750242413233441
0.11,-7.3752639230455275,-5.825068461377403,-4.7590215408740795,-1.3163613175092195,-1.0303617570035581,-0.8226144567320849
0.12,-6.895172816928396,-5.605599812491325,-4.37616550805743,-1.3853130456785034,-1.0864177551284715,-0.8663761118126592
0.13,-6.467745473960688,-5.422117776375917,-3.99672690941322,-1.4499905004181104,-1.1406389328922306,-0.9063433809067913
0.14,-6.088143043434137,-5.266700829194832,-3.631190448769017,-1.5108719308524519,-1.1933059411841789,-0.9426552853944815
0.15,-5.752075847454474,-5.1332576858394505,-3.280165232872545,-1.5683926893269966,-1.2446385180425734,-0.975456937723207
0.16,-5.455265338900422,-5.017102596243199,-2.944002530356015,-1.6229453427160008,-1.2948095440050054,-1.004896963026767
0.17,-5.193559379973562,-4.914667639555402,-2.6229759027900554,-1.6748809365157364,-1.3439562204005593,-1.0311267220546676
0.18,-4.962971324211686,-4.823261489104715,-2.3172264424692806,-1.7245106497578533,-1.3921888352916065,-1.0542989864793604
0.19,-4.759794926258442,-4.7408851652958335,-2.0267981431129756,-1.7721085990204377,-1.4395976869445648,-1.0745669679104901
0.2,-4.580659720829518,-4.666129689929376,-1.7516537215234353,-1.817915196228733,-1.4862589838438585,-1.0920835051257245
0.21,-4.4225878283171856,-4.597946740912654,-1.4916298718399568,-1.862141074511905,-1.532238451252985,-1.106999803844124
0.22,-4.28308275958919,-4.535162893788388,-1.2464478784304824,-1.9049719021077969,-1.5775900801908689,-1.119464282628429
0.23,-4.159781254390719,-4.476757227973804,-1.0158505092708228,-1.946569714651704,-1.622357652470607,-1.1296227877211371
0.24,-4.05013909840806,-4.421944896244508,-0.7994276284853008,-1.9870711056357846,-1.666577101433052,-1.1376170640059902
0.25,-3.951857663726041,-4.370058393056976,-0.5966773505757978,-2.026589682273045,-1.7102776853636217,-1.1435838375117482
0.26,-3.8629885554342795,-4.320455553212037,-0.4070318136297244,-2.065219567827388,-1.753482240895742,-1.1476541556480455
0.27,-3.7819272801297172,-4.2724244342456,-0.2298715055007099,-2.1030388406286855,-1.796206485238198,-1.1499528707030526
0.28,-3.7073917581871285,-4.225218745791461,-0.06458665429508326,-2.140112758210557,-1.8384586726961127,-1.1505987372460034
0.29,-3.6383911827378306,-4.178192004844833,0.08940913004979345,-2.176496670037935,-1.8802405927445611,-1.1497046459455054
0.3,-3.574185658124934,-4.130901531891512,0.23268461363939696,-2.2122385266191844,-1.9215496080634762,-1.1473777998091115
0.31,-3.5142318800755117,-4.083126272719296,0.3658098727814796,-2.2473808454199395,-1.9623808707906691,-1.1437197010812967
0.32,-3.4581215963121483,-4.034801280820674,0.48936450812557153,-2.281962061383061,-2.0027288835988757,-1.138826056000041
0.33,-3.4055282198224095,-3.985935844713757,0.6039363672589269,-2.316017343581285,-2.0425882420460133,-1.1327866923274517
0.34,-3.3561420148870953,-3.936534964440966,0.710116168369018,-2.349578763730156,-2.081953591690423,-1.1256855306437614
0.35000000000000003,-3.309625804153228,-3.8865676868776218,0.8084925362667654,-2.3826750217716883,-2.120819268559199,-1.1176006052810938
0.36,-3.26550695568869,-3.8358837775826187,0.8996508195643189,-2.4153300913285753,-2.159178106335025,-1.1086040970854507
0.37,-3.2231923372413034,-3.7842507629349944,0.9840838957633555,-2.4475620147009884,-2.197020613964375,-1.098763258127817
0.38,-3.182189175827755,-3.7315989902457822,1.062215068710725,-2.479383906459266,-2.234336603866833,-1.08814110744071
0.39,-3.1422137991119516,-3.6780983272756895,1.134435670901367,-2.5108060444503857,-2.2711175871395897,-1.0767967507316962
