time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
0.18,5.482907076769203,-0.08149008050429796,-1.3636316826101895,-2.015934103766831,-1.8532317121179576,-0.4990891333397343
0.19,6.224718652705931,-0.5597638867883141,-1.1538316150353993,-1.9536869172397715,-1.8588293509858407,-0.5106274494900883
0.2,6.81573267894868,-0.9624097291506386,-0.9475652922036524,-1.8855295904502847,-1.8684534482773472,-0.5201031024121249
0.21,7.451753828236872,-1.3187848597074332,-0.7427376028271659,-1.811012052167916,-1.8816412968744214,-0.5275304784403966
0.22,6.538568146604504,-1.5899126977586526,-0.5380626624661526,-1.745626370701871,-1.897540423852008,-0.5329111050650581
0.23,5.215466345246728,-1.6781033711471016,-0.3320735069875078,-1.6934717072494039,-1.914321457563479,-0.5362318401349332
0.24,3.9711160195141897,-1.4696436543516658,-0.12001700949075333,-1.653760547054262,-1.9290178941069958,-0.5374320102298408
0.25,2.5606544786877645,-0.8670862259070704,0.09662448452607553,-1.6281540022673844,-1.9376887563660665,-0.53646576538458
0.26,1.2837384084176229,0.09247719998321635,0.3281606804075352,-1.6153166181832082,-1.9367639843662343,-0.5331841585805047
0.27,0.3194222171512333,1.1337128532207101,0.5642585990165834,-1.6121223960116957,-1.9254268558340273,-0.5275415725903388
0.28,-0.3650029702329416,2.1088643801679376,0.800056414327482,-1.6157724257140251,-1.904338212032348,-0.5195410084470641
0.29,-1.1491435522756621,2.065519202168713,1.0304899904054756,-1.6272638612367818,-1.883683020010661,-0.5092361085430093
0.3,-1.1085270449878317,5.322328199124446,1.2641394909325798,-1.63834913168666,-1.8304597380194165,-0.49659471363368346
0.31,-1.1196202531171826,6.648701183751815,1.4444730847589153,-1.649545334217832,-1.7639727261818985,-0.48214998278609433
0.32,-0.9132644470620059,4.514004627176655,1.5694620506452943,-1.658677978688452,-1.7188326799101319,-0.4664553622796414
0.33,-0.36961207670580354,3.3826672637679063,1.6340108012519576,-1.66237409945551,-1.6850060072724529,-0.45011525426712184
0.34,0.3208122247087779,2.9451403711369903,1.64256274781348,-1.6591659772084222,-1.6555546035610829,-0.43368962678898704
0.35000000000000003,0.9796504788965041,2.133225468112978,1.6226790609852069,-1.6493694724194572,-1.634222348879953,-0.417462836179135
0.36,1.6379352546737946,1.6155976356406105,1.5111380566524188,-1.6329901198727192,-1.618066372523547,-0.4023514556126108
0.37,2.425992583326015,2.0452129764894798,1.383697040979405,-1.6087301940394592,-1.5976142427586522,-0.3885144852028168
0.38,3.1211322428597006,2.5940120822672106,1.2582430188877014,-1.5775188716108621,-1.57167412193598,-0.3759320550139398
0.39,3.6089344476867873,2.437581332271461,1.1421018032028267,-1.5414295271339942,-1.5472983086132654,-0.3645110369819115
0.4,3.9545943578547833,0.16409231480694153,1.0153638393286644,-1.5018835835554463,-1.545657385465196,-0.35435739858862486
0.41000000000000003,4.291716112428548,0.1532057720446236,0.8135489388942758,-1.4589664224311607,-1.5441253277447498,-0.3462219091996821
