time,xi_x,xi_y,xi_z,d_var_theta_x,d_var_theta_y,d_var_theta_z,var_theta_x,var_theta_y,var_theta_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.81972870396089,-34.81972870396089,-34.81972870396089,0.6518027129603912,0.6518027129603912,0.6518027129603912,-0.0,-0.0,-0.0
0.01,-0.02994398498762425,-0.04756421112060601,-0.42371330746175756,8.918358725945172,12.732284268986641,50.316139297885364,0.08918358725945172,0.1273228426898664,0.5031613929788536,-22.098547821271794,-22.080784879814736,-21.7046287543154,0.4308172347476732,0.4309948641622438,0.43475642541723714,1.475594621816244,1.8588296632653287,8.819486255483815
0.02,-0.05389206951717279,-0.09061740389844183,-0.1856217740750875,16.529533068540434,24.71499033360501,26.600995021223756,0.25447891794485605,0.3744727460259165,0.7691713431910912,-14.256920609085292,-14.226386276277093,-14.262570596743904,0.2882480286568203,0.28873100139947283,0.29213071944979807,1.769537153306514,2.504416227900462,4.301440906389612
0.03,-0.11993907667856207,-0.20246343426057334,-0.1820049062478144,28.095059114255985,42.75173605662121,25.32368207369833,0.5354295090874159,0.8019901065921287,1.0224081639280744,-9.276386846943948,-9.21030332030871,-9.34653519246887,0.19548416018738082,0.19662796819638573,0.19866536752510938,2.926309199801436,4.4653623551514015,4.092039607938498
0.04,-0.20223039490915928,-0.3001677903662927,-0.18419904891109296,43.23229700374961,57.848382424043436,26.086799422419848,0.967752479124912,1.3804739308325629,1.283276158152273,-6.067547750731219,-6.007749781277857,-6.191681937799942,0.13480868268006863,0.13655047038360715,0.13674854814710996,4.367837131879508,6.148664893269125,4.039092627979735
0.05,-0.2775276529411005,-0.33949289093807367,-0.18005127473568838,59.190152203585114,65.27353930969021,28.64695779698209,1.5596540011607631,2.033209323929465,1.569745736122094,-3.986536670703723,-3.981630331743615,-4.147562853506039,0.0949433159730314,0.096734167066171,0.09527291961204956,5.678048360032831,6.796148245510507,3.9005553079430544
0.06,-0.27685370101116424,-0.27726684637420096,-0.16139010442587898,66.40102951186618,59.98470103487922,32.331559139090835,2.223664296279425,2.6330563342782574,1.8930613275130024,-2.691106606979153,-2.7484808938258456,-2.8172025500948186,0.06803224990323987,0.06924935812791254,0.06710089411110137,5.625994784393826,5.6352573792875,3.5129335127986296
0.07,-0.16762949088448265,-0.13517021609192037,-0.10098718303119036,59.659742784835714,44.04886949352518,31.26064865090901,2.820261724127782,3.073545029213509,2.2056678140220924,-1.9377210457105574,-2.0089423172303156,-1.9747193399013523,0.0486550394461343,0.049159934955609386,0.047353700712087846,3.601702286049071,2.99581710508896,2.34184840148864
0.08,-0.061264170374415006,-0.02583178072877379,-0.033680919493506156,50.80073739134102,29.62608971477459,27.280854566670588,3.328269098041192,3.369805926361255,2.4784763596887984,-1.4306877347680302,-1.4822995994329489,-1.4174282728029757,0.034348162098453996,0.0343369389612799,0.03317941798405809,1.5384101608817196,0.7828420752463185,0.9570158057264961
0.09,-0.0033268601300902034,0.02773096741068448,0.009063785053653906,45.18760153933449,19.603679156974923,23.847256398802326,3.780145113434537,3.5658427179310044,2.7169489236768216,-1.0431851621213775,-1.0163883143826695,-1.0013903548122773,0.023916310477240223,0.024173055817453205,0.023165514435935314,0.1621147464424887,-0.8114293031225819,-0.3463037876839152
0.1,0.02397412314364722,0.04543750218478371,0.027578378211842836,41.3869529735694,13.152322932905186,22.259622025074876,4.194014643170231,3.697365947260056,2.93954514392757,-0.6977389114341739,-0.6837984350042109,-0.6708561452784412,0.016938921362898485,0.017335071467411096,0.0164569529831509,-0.7151161447294265,-1.186577554283555,-0.796891604288287
0.11,0.04994764376250327,0.053008592826632395,0.04545270384502098,36.828782601225,7.879575813278444,20.337287051658887,4.562302469182481,3.7761617053928407,3.142918014444159,-0.4574677689247259,-0.466497095125591,-0.4472659494296636,0.012364243673651226,0.012670100516155186,0.011984293488854266,-1.27387353950729,-1.3378153071873582,-1.1791837494634592
0.12,0.07027950730281685,0.05185507296911496,0.05935400667165425,32.19275211968241,3.768103632577727,18.493861220624037,4.884229990379305,3.813842741718618,3.3278566266503993,-0.2980250395108085,-0.32572027389247926,-0.2974456195417027,0.00938399327854314,0.009412897777230395,0.00900983729343724,-1.6840169609312488,-1.309257603586401,-1.4628245295996833
0.13,0.0889295473040761,0.04516487967942551,0.07400448801748905,27.243379525878588,0.5975563161756614,16.181229009039665,5.1566637856380915,3.8198183048803744,3.489668916740796,-0.18935207301516965,-0.23399801176940233,-0.19301404916859327,0.007490472548391443,0.0070729176595363714,0.007079696801751307,-2.0498361281367523,-1.1660697615727287,-1.7550578474108491
0.14,0.09873552875248937,0.03413756364499276,0.08396502284893659,22.94217100828291,-1.7002797682527357,14.027692171110793,5.386085495720921,3.802815507197847,3.629945838451904,-0.12264545422964526,-0.17480493750173853,-0.12510662157673302,0.0062640180060949905,0.0053248682845189865,0.005828630585983976,-2.238692673112569,-0.9268478907703902,-1.9502004078178075
0.15,0.10226897306374916,0.021113740432340045,0.0905700537595715,19.174911437109362,-3.336989753608559,11.989375720156199,5.577834610092014,3.7694456096617617,3.7498395956534663,-0.08239995721357811,-0.13613962491226547,-0.08109639714957066,0.005440018433959209,0.003963472035396332,0.00501766661448827,-2.3057609322096337,-0.6300595293017802,-2.078325915944761
0.16,0.10114416652133507,0.007738603503437247,0.09435275373478991,15.88240435953718,-4.462126508540456,10.084944616612862,5.736658653687386,3.724824344576357,3.850689041819595,-0.05893106702204223,-0.11114641307881411,-0.05314104240512611,0.004850707763738787,0.0028520079046081906,0.004486256190437008,-2.283220155517025,-0.28817746203804806,-2.151195756479708
0.17,0.09674173911541128,-0.004705378447483088,0.0960326821410975,13.002910040119017,-5.086098787015012,8.289881149951846,5.866687754088576,3.673963356706207,3.9335878533191133,-0.045783349401781956,-0.08122198775392776,-0.035656225708904726,0.0043928742697209675,0.002039788027068913,0.004129693933347961,-2.1974185274498903,0.19707552752005983,-2.1832967450681537
0.18,0.08994259807655425,-0.01402530033967686,0.0960179881775498,10.506258818726,-5.6886965729952115,6.59460764379266,5.971750342275836,3.617076390976255,3.99953392975704,-0.03897205838032035,-0.04694190183962679,-0.025083060694237824,0.004003153685917764,0.001570369008672645,0.0038788633264055824,-2.064640286571321,0.4542675618782901,-2.182654986647387
0.19,0.08144603068723821,-0.021967780715814733,0.09454059583314312,8.362747962824082,-6.152012669492035,5.0138587589659185,6.055377821904077,3.5555562642813348,4.049672517346699,-0.03590092313843295,-0.024164364007802544,-0.019120784198299212,0.0036441444545334345,0.0013287253685946195,0.0036876554844225903,-1.8975216258065843,0.6464788252340093,-2.1537084448383075
0.2,0.07195059691026096,-0.029019829577868972,0.09183819144141614,6.52961115011481,-6.4503370344407225,3.5594370698619664,6.120673933405225,3.4910528939369274,4.085266888045319,-0.034755781114396866,-0.009679619918533874,-0.016156903802518427,0.0032965866433894656,0.0012319291694092808,0.003526086446397406,-1.708722649942239,0.8076892226984086,-2.1009181698978376
