time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
0.78,2.978126326349966,-1.990485656698576,0.9994957523148712,-2.749580803024116,-3.317213957886924,-0.5005844088497583
0.79,3.080727790730042,-1.9661464649374452,0.9769311735060109,-2.7187735251168155,-3.3368754225362984,-0.4908150971146982
0.8,3.1877957393250957,-1.9403909619549502,0.9571306365962939,-2.6868955677235644,-3.356279332155848,-0.48124379074873525
0.81,3.288087881259232,-1.9147713246890223,0.9371448790751483,-2.654014688910972,-3.375427045402738,-0.4718723419579838
0.8200000000000001,3.378971678901568,-1.8895290957691895,0.9188502154668021,-2.620224972121956,-3.39432233636043,-0.46268383980331573
0.8300000000000001,3.457068264175839,-1.865131390467086,0.900949804729329,-2.585654289480198,-3.412973650265101,-0.45367434175602245
0.84,3.525286133602656,-1.6587589600143415,0.8832026459631481,-2.5504014281441716,-3.429561239865244,-0.44484231529639096
0.85,3.58428210428307,-1.2825789092489703,0.8656138993595024,-2.514558607101341,-3.442387028957734,-0.43618617630279594
0.86,3.6322692302093045,-0.9130549073350904,0.8486751227468827,-2.4782359147992477,-3.451517578031085,-0.4276994250753271
0.87,3.666557495118907,-0.5544983386002249,0.8324805254654878,-2.4415703398480586,-3.4570625614170876,-0.4193746198206722
0.88,3.6860763213346353,-0.2104914793087449,0.8166989660443514,-2.4047095766347124,-3.459167476210175,-0.4112076301602287
0.89,3.6924873988964544,0.11707816332169685,0.8011995895868886,-2.3677847026457477,-3.4579966945769582,-0.40319563426435984
0.9,3.688192987699952,0.4272678619190726,0.7861789893829202,-2.330902772768748,-3.4537240159577673,-0.39533384437053065
0.91,3.6780109575146205,0.7210910726770123,0.7744387323711996,-2.294122663193602,-3.446513105230997,-0.38758945704681863
0.92,3.655639367605705,0.9926539334849016,0.7625498491784138,-2.257566269517545,-3.4365865658961483,-0.3799639585550345
0.93,3.624526562502493,1.2426954669351913,0.7500783880158246,-2.22132100389252,-3.4241596112267962,-0.3724631746748763
0.9400000000000001,3.590788968023084,1.4758626472994774,0.7371128672986695,-2.1854131142122895,-3.4094009847538014,-0.3650920460018896
0.9500000000000001,3.5572325006147496,1.6949543028619134,0.7246034432068102,-2.149840789206142,-3.392451441725182,-0.3578460115698215
