time,throttle,torque_x,torque_y,torque_z
0.001,12.090484442702351,-0.20333948248131845,0.019886334975502205,0.0018358466866198531
0.002,12.080881434964011,-0.1995596761367621,0.019396455712295885,0.00363669655951803
0.003,12.07069756484397,-0.1958507129333265,0.01891306121906808,0.005406408318233346
0.004,12.060159054691072,-0.192206624614286,0.018435287403030878,0.007145135021295965
0.005,12.049358275936722,-0.18862480972719461,0.017962704812275347,0.008853040265870025
0.006,12.038351163126924,-0.1851033185093759,0.017495007750725575,0.010530285678780994
0.007,12.02717646849612,-0.18164036390300914,0.01703194738787058,0.0121770424899698
0.008,12.015863048847738,-0.1782344072067691,0.01657340236139444,0.01379349204969349
0.009000000000000001,12.004433402511538,-0.17488407318559557,0.01611923307303963,0.015379823559331542
0.010000000000000002,11.992905647442404,-0.17158810330095642,0.01566925682061423,0.016936232940612646
0.011000000000000003,11.981294735069946,-0.16834532720690204,0.015223314275122848,0.01846292225764525
0.012000000000000004,11.969613245720438,-0.1651546440897273,0.014781263508017251,0.01996009921328896
0.013000000000000005,11.957871935932959,-0.16201500978144848,0.014342976346328385,0.02142797671026457
0.014000000000000005,11.946080129489491,-0.15892542748719735,0.013908335998245355,0.022866772454516102
0.015000000000000006,11.934246005210229,-0.15588494089211394,0.01347723540918596,0.024276708590844725
0.016000000000000007,11.922376813898646,-0.15289262889980068,0.013049576061346923,0.025658011365421098
0.017000000000000008,11.910479045110465,-0.14994760152717862,0.01262526705667337,0.027010910811735594
0.01800000000000001,11.8985585574451,-0.14704899664181054,0.012204224389575467,0.028335640457501608
0.01900000000000001,11.886620681725747,-0.1441959773273428,0.011786370352024459,0.029632437050559648
0.02000000000000001,11.87467030364655,-0.14138772972655134,0.01137163303440232,0.030901540302162318
0.02100000000000001,11.862711930615603,-0.13862346125372688,0.010959945897830777,0.03214319264624822
0.022000000000000013,11.850749746262606,-0.13590239909687368,0.010551247401344747,0.03335763901348135
0.023000000000000013,11.838787655201214,-0.13322378895023199,0.010145480672167131,0.03454512661896378
0.024000000000000014,11.826829320010635,-0.13058689393189135,0.009742593210574158,0.035705904762636596
0.025000000000000015,11.814878191947374,-0.12799099365161792,0.009342536623038489,0.036840224641473115
0.026000000000000016,11.802937536563658,-0.12543538340164842,0.008945266378868654,0.037948339172645576
0.027000000000000017,11.791010455158917,-0.12291937344893075,0.008550741586657196,0.039030502826912776
0.028000000000000018,11.779099902800912,-0.12044228841163736,0.008158924787645822,0.0400869714715356
0.02900000000000002,11.767208703507471,-0.11800346670611864,0.007769781763706917,0.0411180022220793
0.03000000000000002,11.755339563066814,-0.11560226005306841,0.00738328135808622,0.04212385330250938
0.03100000000000002,11.74349507988567,-0.11323803303371241,0.006999395307393081,0.04310478391303014
0.03200000000000002,11.731677754184432,-0.110910162688458,0.0066180980835893275,0.04406105410515422
0.03300000000000002,11.719889995802461,-0.10861803815173543,0.006239366744936802,0.04499292466352702
0.03400000000000002,11.708134130831732,-0.10636106031781235,0.005863180795028444,0.045900656994062684
0.035000000000000024,11.696412407260532,-0.10413864153320973,0.005489522049161216,0.046784513017978306
0.036000000000000025,11.684726999779228,-0.10195020531204184,0.005118374507416669,0.047644755071341284
0.037000000000000026,11.67308001387568,-0.09979518607118125,0.004749724233903246,0.04848164580977012
0.03800000000000003,11.661473489327904,-0.09767302888261249,0.00438355924168693,0.04929544811795339
0.03900000000000003,11.649909403184834,-0.09558318924074112,0.004019869382996705,0.05008642502367348
0.04000000000000003,11.638389672312254,-0.09352513284274769,0.0036586462443423977,0.050854839616042966
0.04100000000000003,11.626916155569347,-0.09149833538035315,0.0032998830462238125,0.05160095496768049
0.04200000000000003,11.615490655671595,-0.08950228234159684,0.0029435745471469155,0.05232503406057117
0.04300000000000003,11.604114920787607,-0.08753646882142198,0.002589716951692217,0.053027339715373926
0.04400000000000003,11.592790645910505,-0.08560039934002996,0.0022383078224075498,0.05370813452395309
