time,in1,in2,in3,in1_obs,in2_obs,in3_obs,out1,out2,out3,out1_obs,out2_obs,out3_obs
0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.625,-2.5,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.8828167640323525,0.6406952128892764,-2.4763893273590565,1.2218290262322546,1.1158662974919746,4.155059842263804
0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.890558267534241,0.6563632719315569,-2.4526836815532826,1.524296753072424,1.3536750462129659,2.2893454096465247
0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.898223274882726,0.6720016985754237,-2.428886788445895,2.0026512113111767,1.8700308694112535,1.704132574747602
0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.9058105537685432,0.6876080160267745,-2.405002376621182,2.4965816913832755,2.549271122731164,1.2637087891590295
0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.9133188753915675,0.7031797496402239,-2.3810341767968666,3.0443028940593426,3.4643137126252417,1.000185128560764
0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.9207470146560628,0.7187144273102841,-2.3569859212365993,3.601988725046164,4.5435886300268296,0.8199339035403098
0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.9280937503656983,0.7342095798622569,-2.332861343162668,4.204600300668758,5.83558423897189,0.7187772963518129
0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.935357865418292,0.7496627414427794,-2.3086641761690156,4.89078325558362,7.33513555942294,0.837772839521328
0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.942538147000254,0.7650714499099615,-2.284398153634659,4.832007907807091,7.196264299498791,0.7961820951785947
0.10999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.9496333867806992,0.78043324722305,-2.260067008137608,3.7903277766721626,5.124909381441482,-0.35000234191944635
0.11999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.956642381105196,0.7957456798315633,-2.2356744708693665,2.9235761422236624,3.3181135145720724,-0.9100969691087921
0.12999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.9635639311891242,0.81100629906383,-2.2112242710501153,2.18393143696312,1.4842734402857294,-1.4666439855347824
