time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.14,0.09301631240514574,-0.050235255057781814,-0.1514305680738861,32.6312207370535,42.63005686396088,13.930243979789429,4.601265049905641,8.096840992341143,2.5574813665189517,-1.1675516429281112,-1.252566440204431,-0.997129966841914,0.1275091926617799,0.12930301823900084,0.12206785437421225,1.363446168651789,-0.7669863769145291,-2.1838176936506475
0.15,0.0777439590280089,-0.09065553120291803,-0.16947018656502388,31.312386332810547,35.07982121726864,12.658143141846248,4.914388913233747,8.447639204513829,2.6840627979374143,-1.0015264677656184,-1.015886971219275,-0.8284631832868722,0.11749392798412372,0.11914414852680809,0.11378322254134353,1.1343891430834774,-1.3198335170526418,-2.4196554262041787
0.16,0.06671326247436493,-0.11832913471456763,-0.18387886728649727,30.214139665558736,28.272634215896794,11.462523350163178,5.216530309889334,8.730365546672797,2.7986880314390463,-0.8645438050737483,-0.8367996199055443,-0.6944843559094993,0.10884848993338624,0.11077615232775265,0.10683837898224853,0.9692854791769315,-1.7054317583976988,-2.602553664367355
0.17,0.05847652113847701,-0.13637960248118652,-0.19534749499012438,29.19563511156701,22.022266661216825,10.320950706275758,5.508486661005004,8.950588213284965,2.901897538501804,-0.7512919533342527,-0.699941041679901,-0.5870732550370374,0.1013355704000437,0.10377674191095364,0.10096764643187815,0.8464567334145944,-1.9527857194829377,-2.7442197044709853
0.18,0.052137654253106014,-0.14693295238573612,-0.20440838236704684,28.15693583764037,16.21930884995905,9.203175319590596,5.7900560193814075,9.112781301784555,2.99392929169771,-0.6572513087813667,-0.5945173256750715,-0.5001959598299379,0.09476305731223005,0.09783156865420292,0.09596568683357877,0.7522722873647693,-2.0932726396238244,-2.853441887869672
0.19,0.04742921857307092,-0.1514532252986669,-0.2112791935366607,27.05943584267009,10.797799948370157,8.09707667838531,6.060650377808108,9.220759301268256,3.074900058481563,-0.5784183845670312,-0.5128834950113232,-0.4295442760887921,0.08897887346655974,0.09270273370408968,0.09167024407269085,0.6821089071021375,-2.1499229265070503,-2.9343291485867553
0.2,0.04434476359092976,-0.1512399576288228,-0.2161003076207768,25.891032959471453,5.687681273017304,6.984595067740334,6.319560707402823,9.27763611399843,3.1447460091589665,-0.5114905768352451,-0.44928293981216616,-0.3718911819822893,0.08386396769820728,0.08820990430596802,0.08795133225286796,0.6350686798347018,-2.1418492200689325,-2.989584291823914
0.21,0.04313680868169989,-0.14761092097731243,-0.2189367871152661,24.667971868239864,0.7938452943243308,5.83612380866119,6.566240426085221,9.285574566941673,3.2031072472455784,-0.4536660434694319,-0.399173807909344,-0.32481841668465183,0.07932730726351296,0.08421816622687459,0.08470314808602143,0.6138886633596338,-2.087117529783962,-3.020625795967247
0.22,0.04312260496389175,-0.14114313488242658,-0.21813652627023528,23.05710734817501,-3.721793193416424,5.118273096608666,6.796811499566971,9.248356635007509,3.254289978211665,-0.40367924085262746,-0.35965798343370425,-0.2881610491178982,0.07529051485498668,0.08062158639253754,0.08182153759484245,0.6091634174204267,-1.9930193898798991,-3.0075912726288294
0.23,0.037449833391979936,-0.13111993215916407,-0.21539638148518403,20.19946891360941,-7.555568020977081,4.802214697798179,6.998806188703065,9.172800954797738,3.302312125189647,-0.3667903164895615,-0.329715946827671,-0.25861626795756393,0.07162261169009107,0.07732442692426082,0.07923537491526682,0.530419725242172,-1.8485065741617788,-2.9710774904095434
