time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.1,0.09677982712890706,0.031795548778844634,-0.10231471300122622,3.957676120716394,4.336744942471318,3.250627698519592,0.26814033864137626,0.2775097602064192,0.3363537908608988,-2.2307451222346475,-2.2543950740212786,-2.225149057899423,0.1786609837412814,0.17615361404824,0.17871358738084098,1.4790584101988284,0.5806574578579462,-1.5582877736730572
0.11,0.10229342426293919,0.035487404313989834,-0.10852505034591609,4.148108022851218,4.664038584578389,3.2194630059301783,0.3096214188698885,0.3241501460522031,0.36854842092020057,-1.824415616270495,-1.8470260260489213,-1.819113340736815,0.16041682757857645,0.1576833537877508,0.1605224539734728,1.5356788676324178,0.6057355376920337,-1.6249368480787967
0.12,0.10711433789333646,0.03895603877976611,-0.11391740605535855,4.294270858536709,4.968130995290327,3.190912407922125,0.35256412745525556,0.37383145600510637,0.4004575449994218,-1.5031496912514686,-1.5250391783360673,-1.4981411412210695,0.14538533066606177,0.14243296200439012,0.14554104256126213,1.5864518674694372,0.6325264891065009,-1.6838467840217555
0.13,0.111283411546442,0.04214077078276607,-0.11858606864887922,4.39411850474054,5.240426102691923,3.1645209254524334,0.39650531250266097,0.4262357170320256,0.4321027542539462,-1.248963115230606,-1.2703704966126503,-1.2441915088740183,0.1328956995137557,0.12972925703826363,0.13309912747252195,1.6310639101679012,0.6592511018935542,-1.7354914259669476
0.14,0.11485930365641872,0.0450017691462945,-0.12261880066970515,4.448729094653219,5.473537003548532,3.139448769333225,0.44099260344919317,0.4809710870675109,0.4634972419472784,-1.0469568118700727,-1.0680533260636296,-1.0423525131302147,0.12242613139505498,0.11904872377762733,0.1226756023412198,1.6696729696607713,0.6845788996456552,-1.7804685459486742
0.15,0.1179112190988309,0.047522255802970426,-0.12609333190585104,4.461454230207459,5.662302019687187,3.114692394580185,0.48560714575126773,0.5375941072643828,0.4946441658930803,-0.8853116028687495,-0.9062203728460906,-0.8808181812173763,0.11357301536636749,0.10998652004916643,0.11386742052904603,1.702755007052776,0.7076440836579597,-1.8193962005316446
0.16,0.12051183526660403,0.0497070249380841,-0.12907578220964339,4.436959858302015,5.804117255590658,3.089297563017959,0.5299767443342879,0.5956352798202894,0.5255371415232599,-0.75488818476103,-0.7756988065377365,-0.7504753559479254,0.1060241335187572,0.10222953198378906,0.10636266696956677,1.7309600698067238,0.7280065702296465,-1.8528478144151577
0.17,0.12273190062190764,0.05157815777367947,-0.13162093521214718,4.380447071555422,5.898733959157683,3.062490578357953,0.5737812150498421,0.6546226194118663,0.5561620473068395,-0.6487114119080637,-0.6694883603292205,-0.6443793009362497,0.09953701939967656,0.09553464838049686,0.09991887396020427,1.7550018456675869,0.7455729067567985,-1.881324041322941
0.18,0.12463674669195679,0.05316960392173453,-0.13377367594479828,4.297118345258711,5.94778103878919,3.033726204543946,0.6167523985024292,0.7141004297997582,0.586499309352279,-0.5614831504607074,-0.5822700447479997,-0.5572612251070767,0.09392218789506948,0.08971194793301686,0.0943462617091335,1.7755834512190027,0.7605018017577443,-1.9052496305169342
0.19,0.12628441156290549,0.054521913715616654,-0.1355708678393726,4.19185584280604,5.9542101624888195,3.002682847958871,0.6586709569304896,0.7736425314246463,0.6165261378318677,-0.48917664994710097,-0.509998541478597,-0.4851196843237617,0.08903042139559847,0.08461196251823089,0.08949506486589588,1.7933532386949373,0.7731133556484336,-1.9249829146592454
0.2,0.12772493250779704,0.055677773621576665,-0.1370432004864674,4.069054245521399,5.921766864827844,2.969233769638128,0.6993614993857036,0.8328602000729248,0.646218475528249,-0.4287193093717474,-0.4495844392707151,-0.4249019559337072,0.084743228301881,0.08011611812552373,0.08524604530655881,1.8088823634361573,0.7838118703465878,-1.9408295480926676
0.21,0.1290004165260482,0.05667852117399874,-0.13821678956038808,3.93255667945986,5.854522990408678,2.9334124396699606,0.7386870661803022,0.8914054299770116,0.6755525999249485,-0.37775252981611807,-0.39865435251516845,-0.3742635096887834,0.08096570300371982,0.07612957460037205,0.08150341020967097,1.8226569788949942,0.7930249896320973,-1.9530561108647158
0.22,0.1301455746600726,0.057561554000135295,-0.13911446800196547,3.7856532561968,5.756466861314369,2.895381517758425,0.7765435987422702,0.9489700985901552,0.7045064151025328,-0.33445285667686375,-0.3553726966030532,-0.33138936464269736,0.07762117443695118,0.07257584763434152,0.078189516563244,1.8350794696743142,0.8011578679572484,-1.9619017901620392
0.23,0.1311884960470877,0.058358412055025344,-0.1397567882895009,3.6311139926860077,5.631124546604856,2.8554096800002315,0.8128547386691303,1.0052813440562038,0.7330605119025351,-0.29739966374205423,-0.3183101732505123,-0.2948623016890217,0.07464717779953065,0.0693927459018364,0.07524089354635377,1.8464747754328823,0.8085589459632904,-1.9675877592904771
0.24,0.13215151048388296,0.05909325521964326,-0.1401627919752909,3.4712371738142944,5.481172097275514,2.813856994398267,0.8475671104072732,1.060093065028959,0.7611990818465177,-0.2654773649794123,-0.2863469150742532,-0.26356572640405435,0.07199240414973652,0.06652927675109387,0.07260523628231323,1.8570991493861981,0.8154930285756465,-1.9703245746861675
0.25,0.13305204250559477,0.05978145763898923,-0.1403506166984534,3.3079005162175523,5.307993419140225,2.7711657610095206,0.8806461155694487,1.1131729992203614,0.7889107394566129,-0.23780296334087037,-0.2586011489588173,-0.23661186090116326,0.06961437451632782,0.06394326526150569,0.0702391176733016,1.8671496358096513,0.8221173525923048,-1.9703182391804126
0.26,0.1339033970404424,0.060428123296872416,-0.1403380159196439,3.142606007032751,5.111151478577325,2.7278465773048706,0.9120721756397763,1.1642845140061346,0.8161892052296617,-0.2136721269027964,-0.23437659810607764,-0.21328836077607616,0.06747765324729986,0.06159949928044491,0.06810623406554084,1.8767731878225886,0.8284575356923676,-1.9677757419282567
0.27,0.13471543861227442,0.061026651547638755,-0.14014287683555393,2.976510172443586,4.887815708886629,2.684430731950047,0.9418372773642121,1.213162671095001,0.8430335125491621,-0.1925188294892088,-0.21312341137687107,-0.19301830978211476,0.06555246495240777,0.0594682651666762,0.0661760509677197,1.88607472970238,0.8343848782022382,-1.9629110948366906
0.28,0.13549513710453187,0.0615586581924219,-0.13978386469172432,2.810430477405098,4.632491695307204,2.6413068835866853,0.9699415821382631,1.259487588048073,0.869446581385029,-0.17388496721345914,-0.19440765910733793,-0.1753298848496787,0.06381361528027318,0.05752418857560282,0.06442275211922291,1.8951236725225176,0.8396129333093332,-1.955953535168422
0.29,0.13624699203044432,0.06199960121761472,-0.1392811500801906,2.6448263242896592,4.338155890200641,2.5983041221141145,0.9963898453811597,1.3028691469500793,0.8954296226061701,-0.1573973285057123,-0.17788251863260074,-0.15983316239732992,0.06223964199521606,0.05574536338927681,0.06282442049524961,1.9039589726983928,0.8437736945324507,-1.947157202764291
0.3,0.13697350969500466,0.062334459564030054,-0.1386551867083835,2.479801265901985,3.999592822443106,2.5543042613111298,1.0211878580401796,1.3428650751745104,0.9209726652192813,-0.14274985725403017,-0.16325531764199272,-0.14620423401860017,0.06081214342267576,0.05411281021285688,0.06136237815506361,1.9125951260308778,0.8466341042108207,-1.9367837303283468
0.31,0.13767581701800635,0.06257318208654428,-0.13792063483080563,2.315175594927644,3.6163444577691566,2.5077566579312247,1.044339613989456,1.3790285197522019,0.9460502317985936,-0.12968977111702118,-0.15025997289150833,-0.13417800715928202,0.05951524571150555,0.0526102104839418,0.06002059808347079,1.9210302207534036,0.8483105265789529,-1.9250167577645794
0.32,0.1383538798003654,0.06275083624196953,-0.1370817506059262,2.1505406677284613,3.193359595940581,2.457469681449494,1.0658450206667407,1.4109621157116077,0.9706249286130886,-0.11800708617796057,-0.13864858294246463,-0.12354200350486383,0.058335174849725946,0.051223724654517154,0.05878517804842215,1.9292485381759,0.8492713012231011,-1.9118965935863337
0.33,0.1390062318703844,0.06292163943479179,-0.13613412652687262,1.9852435318752195,2.740687277317229,2.402926772965291,1.0856974559854928,1.43836898848478,0.9946541963427414,-0.10752687783723738,-0.12819094499337622,-0.11412577504264149,0.057259906071353575,0.04994181520458339,0.057643920297995734,1.937216384956269,0.8502538964064551,-1.8973436979054272
0.34,0.13962958468397924,0.06314723298171865,-0.13506766032355222,1.8183095440123043,2.2713000813860402,2.3446319925701675,1.1038805514256158,1.4610819892986402,1.0181005162684431,-0.09810333515336703,-0.11868078970022813,-0.10579109270144132,0.056278872719819906,0.04875500730758111,0.05658600937098132,1.9448763397662572,0.8521020737829673,-1.881199508386358
0.35000000000000003,0.14021834584998816,0.06347843712316203,-0.13387265274056936,1.6482925500136445,1.7977979941159918,2.283871257809139,1.1203634769257522,1.4790599692398,1.0409392288465344,-0.0896151808831396,-0.10994888202793213,-0.09842063996461531,0.05538272091098851,0.04765551848730179,0.05560180297133517,1.9521402989669667,0.8555128404458479,-1.8633115881172424
