time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
0.0,-124.81361739219415,-137.61924598126944,-1.9739208802178716,-1.2481361739219414,-1.3761924598126944,-0.019739208802178717
0.01,-1.1574203201854507,5.2196360656371965,-7.453825816118324,-1.2597103771237959,-1.3239960991563224,-0.09427746696336196
0.02,-45.34281760704532,0.1519059718257969,-1.794425498210653,-1.7131385531942491,-1.3224770394380645,-0.11222172194546849
0.03,-44.51801434250407,-4.2214278451476694,-2.6230615337264407,-2.1583186966192898,-1.3646913178895412,-0.1384523372827329
0.04,-22.217542711916607,-40.87576986728691,-1.7591781008053275,-2.380494123738456,-1.7734490165624104,-0.15604411829078618
0.05,-9.764571989417288,-22.64165639872894,-2.9683789132520735,-2.4781398436326287,-1.9998655805496999,-0.18572790742330691
0.06,-1.1676678441179202,0.5995329064572692,-3.469324739756789,-2.489816522073808,-1.9938702514851272,-0.22042115482087482
0.07,4.219345541790544,6.35494877196825,-3.2544511296063856,-2.4476230666559027,-1.9303207637654447,-0.25296566611693866
0.08,5.915310758849168,1.6522363030910885,-3.1161689127610934,-2.388469959067411,-1.9137984007345339,-0.2841273552445496
0.09,4.956447299976816,-0.0177085745488732,-3.1167896394991557,-2.338905486067643,-1.9139754864800227,-0.31529525163954114
0.1,4.908713608895347,-0.3910495753613743,-3.0291486819914564,-2.2898183499786895,-1.9178859822336365,-0.3455867384594557
0.11,5.119042612795533,0.5299432512551334,-2.907683530527058,-2.2386279238507343,-1.9125865497210852,-0.37466357376472625
0.12,5.227806245143336,0.6810613357420161,-2.7253430843250275,-2.186349861399301,-1.905775936363665,-0.4019170046079765
0.13,5.3029792222674486,0.6031445111221831,-2.5286341709335804,-2.1333200691766265,-1.8997444912524433,-0.4272033463173123
0.14,5.225855015484363,0.4634894123098965,-2.3144583931182714,-2.081061519021783,-1.8951095971293443,-0.45034793024849507
0.15,5.134201153260967,0.4178022849866938,-2.0909267612549223,-2.0297195074891734,-1.8909315742794774,-0.4712571978610443
0.16,5.041706676527536,0.3210989454872051,-1.8592405980367093,-1.979302440723898,-1.8877205848246055,-0.4898496038414114
