time,xi_x,xi_y,xi_z,d_var_theta_x,d_var_theta_y,d_var_theta_z,var_theta_x,var_theta_y,var_theta_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4819728703960884,-3.4819728703960884,-3.4819728703960884,0.9651802712960391,0.9651802712960391,0.9651802712960391,-0.0,-0.0,-0.0
0.01,-0.02994398498762425,-0.04756421112060601,-0.42371330746175756,8.485822828212754,11.959204567794897,43.27860166794993,0.08485822828212754,0.11959204567794897,0.4327860166794993,-3.323518050952021,-3.305755109494965,-2.9295989839956276,0.9319450907865189,0.9321227202010894,0.9358842814560828,1.043058724083826,1.0857499620735847,1.7819486255483814
0.02,-0.07713719284116106,-0.1250675539253543,-0.3203000015066106,18.494536476284974,27.011922478202568,29.618299851421547,0.2698035930449773,0.3897112704599746,0.7289690151937147,-3.153706302565196,-3.1064295719006747,-2.925041607730057,0.9004080277608669,0.9010584244820827,0.9066338653787822,1.112775500800582,1.2056739525408788,1.5673462471527595
0.03,-0.1359806807071221,-0.22516877503838523,-0.3073617996117739,27.852306936377545,40.82966919204309,24.700147853870412,0.5483266624087528,0.7980079623804055,0.9759704937324188,-2.97896270033601,-2.8921617332677094,-2.830437450736063,0.8706184007575068,0.8721368071494057,0.8783294908714215,1.1945926062521814,1.3602834608076582,1.5148032705189696
0.04,-0.23595311237269667,-0.35027922328326344,-0.33247058583759126,41.77427695444575,54.24342047583816,24.992750429259768,0.9660694319532104,1.3404421671387872,1.2258979980250166,-2.769796974715924,-2.6610297585241307,-2.7015174474258883,0.8429204310103476,0.8455265095641643,0.8513143163971626,1.349507255714764,1.5574585900310813,1.5316743001537785
0.05,-0.3439123776548634,-0.4397595986011984,-0.35056573461640417,56.90507428893736,61.904190075363076,26.71264575237093,1.535120174842584,1.959484067892418,1.493024455548726,-2.5605652497134685,-2.4742360937914856,-2.5845764040051877,0.817314778513213,0.8207841486262495,0.8254685523571107,1.516815495887816,1.6909530219412248,1.5371501702975006
0.06,-0.4030769719231424,-0.4486445407001656,-0.3576131797550437,66.26703283199699,59.99731711154573,30.40935008793151,2.1977905031625538,2.5594572390078754,1.797117956428041,-2.4080007416556146,-2.3750754680185313,-2.4831830106608335,0.7932347710966569,0.7970333939460642,0.8006367222505023,1.5971985807037221,1.6820716148361865,1.523945655978087
0.07,-0.3467470788602047,-0.3555582076412591,-0.32533135384169776,62.81071821778198,47.432916622340045,31.31552826289619,2.8258976853403737,3.0337864052312757,2.110273239057003,-2.3766947178687663,-2.3816951847829166,-2.4250280665942645,0.7694678239179692,0.773216442098235,0.7763864415845596,1.4722180647812197,1.4918251224127785,1.4411482203897292
0.08,-0.23875722279126776,-0.24180614635725206,-0.2578876781190136,53.523743030782036,32.88295722693843,27.958523188410496,3.361135115648194,3.36261597750066,2.3898584709411077,-2.3983810229614946,-2.408931344801222,-2.404353731652227,0.7454840136883543,0.7491271286502228,0.7523429042680373,1.2534623656153518,1.2627591982254105,1.2951410801924703
0.09,-0.15550989799037795,-0.16364017195150904,-0.19695662960053406,46.288246391645636,22.026721365271612,24.49804365732475,3.8240175795646505,3.582883191153376,2.634838907514355,-2.394735723150511,-2.399791341853117,-2.3781179545580184,0.7215366564568492,0.7251292152316916,0.7285617247224571,1.0762892933508867,1.0950801365398746,1.1598885717189946
