time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.671253859356543,-16.671253859356543,-16.671253859356543,0.8332874614064345,0.8332874614064345,0.8332874614064345,0.0,0.0,0.0
0.01,0.02107099804330219,0.006528055741030803,0.018832595728133613,1.7764981183589021,0.9905494156211607,5.423259519712483,0.01776498118358902,0.009905494156211607,0.054232595197124825,-13.603725672765822,-13.618268615068095,-13.605964075080992,0.6972502046787763,0.6971047752557535,0.6972278206556246,1.0804353986974098,0.9071107058880998,1.0530106273868078
0.02,0.034558069236170136,0.004492289832276196,-0.02764691015757833,2.9121574571564057,0.955034377801476,2.1640774948008543,0.046886555755153075,0.019455837934226367,0.07587337014513337,-11.171605995711259,-11.199113138042929,-11.178123334513701,0.5855341447216638,0.5851136438753243,0.5854465873104876,1.1147896039181497,0.7476277800006943,-1.0263925884662466
0.03,0.050784910106844494,0.004542401869288434,-0.02113205536450989,4.360248084422376,1.0011214977546004,4.340827034668921,0.09048903659937683,0.02946705291177237,0.11928164049182258,-9.201084166486849,-9.239998142889359,-9.229211055715377,0.49352330305679526,0.49271366244643067,0.49315447675333385,1.218128438660788,0.6362072122540429,-0.8333461998275802
0.04,0.06176656602824292,0.005495293167939511,-0.03865710825733966,5.249325355428573,1.0403095208421775,3.948132230835593,0.14298229015366257,0.03987014812019415,0.15876296280017851,-7.584738761194987,-7.626832326839637,-7.601389856808531,0.4176759154448454,0.4164453391780343,0.4171405781852485,1.2765458588310974,0.5546854378100962,-0.9640778827212322
0.05,0.07275056139511976,0.007551627177708922,-0.05130637659458341,6.173966982972731,1.1238469131215818,3.9126757295723342,0.20472195998338988,0.051108617251409964,0.19788972009590186,-6.235927026376326,-6.279211795526496,-6.247838904058724,0.35531664518108214,0.3536532212227693,0.3546621891446613,1.3540879158480297,0.5020770781400494,-1.0567989058958895
0.06,0.08287879034941065,0.010335013298984418,-0.06303022643192494,7.060863343698539,1.2366734895790714,3.835244881699917,0.27533059342037525,0.06347535214720068,0.23624216891290103,-5.103675113637432,-5.145931292043135,-5.111609682693748,0.3042798940447078,0.30219390830233794,0.30354609231772384,1.435025176125325,0.4717055803844132,-1.1551988452321496
0.07,0.09229940397074171,0.013650321082240513,-0.07334558485890369,7.9286895649760005,1.3781738330830935,3.77203941341943,0.35461748907013524,0.07725709047803161,0.2739625630470953,-4.156232683903619,-4.196181829994371,-4.1615756020536585,0.2627175672056716,0.2602320900023942,0.26193033629718726,1.5182948158273613,0.4594405101779495,-1.2483342639067234
0.08,0.10086581709315368,0.01732016810612491,-0.08239286063705947,8.746850707454849,1.5454647568407496,3.7253907621861986,0.44208599614468375,0.09271173804643912,0.3112164706689573,-3.372936228405889,-3.4100034328414206,-3.3766883163470816,0.22898820492161268,0.22613205567398,0.22816345313371644,1.5992953216830286,0.46157292363147506,-1.334733191950275
0.09,0.10830018738780928,0.021190729844203546,-0.09026635175963793,9.456471149720388,1.7338153443305095,3.710722980480277,0.5366507076418876,0.11004989148974421,0.34832370047376005,-2.735767782612414,-2.7698063383538445,-2.7384697520743284,0.20163052709548854,0.19843399229044156,0.20077875561297315,1.6719938976693323,0.4747541869829226,-1.4131365505208546
0.1,0.11429662151911657,0.0251131032664257,-0.09721431308627798,10.0007395948722,1.9351067451210118,3.7230743201938163,0.6366581035906096,0.12940095894095432,0.3855544436756982,-2.2252985786375983,-2.25628664176054,-2.2268542350256446,0.17937754130911254,0.17587112587283615,0.1785102132627167,1.730371731094842,0.495746939162791,-1.4850863350843526
0.11,0.1187690285759766,0.028959430922701868,-0.10351224871309478,10.357169254169778,2.1401151701529324,3.743204237457207,0.7402297961323073,0.15080211064248364,0.4229864860502703,-1.8206068798148032,-1.848587560173645,-1.8205336046561578,0.1611714725109645,0.1573852502710997,0.16030487721615513,1.7719358411961015,0.5216539867602135,-1.5529791069591175
