time,in1,in2,in3,in1_obs,in2_obs,in3_obs,out1,out2,out3,out1_obs,out2_obs,out3_obs
0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.625,-2.5,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.8828167640323525,0.6406952128892764,-2.476389327359057,1.1066675820192482,0.9804734529048418,1.5038946898365118
0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.8905582675342416,0.6563632719315571,-2.452683681553283,1.1982006543575823,0.9839225309770757,-0.7545151701680554
0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.8982232748827266,0.6720016985754238,-2.4288867884458956,1.3924327089726503,1.145727064070523,0.6092235149562684
0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.9058105537685437,0.6876080160267746,-2.4050023766211828,1.4372092680810864,1.1031252833174672,-0.9092930328851734
0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.9133188753915678,0.703179749640224,-2.3810341767968666,1.640075833937299,1.3212381947781013,-0.7706760749231937
0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.920747014656063,0.7187144273102842,-2.3569859212366,1.725247945907614,1.4019010550725,-0.8536489036808956
0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.9280937503656985,0.7342095798622569,-2.3328613431626684,1.8050304931306533,1.508505377047768,-0.9047475039730988
0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.9353578654182924,0.7496627414427796,-2.308664176169016,1.849910722797944,1.5657725654244685,-0.9729776755630158
0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.9425381470002545,0.7650714499099616,-2.2843981536346596,1.8628467882933069,1.5587851612386763,-1.0614513788567552
0.10999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.9496333867806992,0.78043324722305,-2.260067008137608,1.8520334223533506,1.4926981888044637,-1.1672862461244489
0.11999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.9566423811051958,0.7957456798315632,-2.2356744708693665,1.8272663494036603,1.384528761515432,-1.2830665203902392
0.12999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.963563931189124,0.8110062990638298,-2.211224271050115,1.796427534372605,1.2527938690703804,-1.4015384116394438
0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.9703968433106083,0.8262126615148732,-2.1867201353446677,1.7650034040027411,1.1133104133830802,-1.516880961171896
0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.9771399290029958,0.8413623294335778,-2.162165787279288,1.7363777046921578,0.9776267602460069,-1.6250618198746722
0.16,0.0,0.0,0.0,0.0,0.0,0.0,1.9837920052468527,0.8564528711090805,-2.1375649466594657,1.7123718448059873,0.8530706469422933,-1.7236395608071189
0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.9903518946614418,0.8714818612563213,-2.1129213289887363,1.6937443218549406,0.7435281565466134,-1.8114015886053583
0.18000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.996818425695657,0.8864468814006926,-2.088238644888644,1.680581497971013,0.6504362856539604,-1.887995021424887
0.19000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.003190432818378,0.9013455202617316,-2.0635205995199306,1.6725765064391416,0.5736825877248205,-1.953621581169677
0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,2.009466756708228,0.9161753741357893,-2.03877089200505,1.669216743829271,0.5122884630137742,-2.008812066327319
0.21000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,2.0156462444426797,0.930934047277617,-2.013993214852091,1.669903758220498,0.4648678056191376,-2.0542720042456435
0.22000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,2.02172774968651,0.9456191522808127,-1.9891912533802087,1.6740262265283192,0.42990515948252866,-2.090782012656071
0.23000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,2.027710132879549,0.9602283104570636,-1.9643686851466426,1.6810017845890362,0.4059082121697231,-2.1191366454678873
0.24000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,2.0335922614237054,0.974759152214127,-1.9395291793754215,1.6902988624369715,0.39148111906965766,-2.1401087736446884
0.25000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,2.039373009869235,0.9892093174324899,-1.9146763963878437,1.7014460575310926,0.38535198431686374,-2.154430236218157
0.26000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,2.045051260100225,1.0035764558406453,-1.8898139870348174,1.7140339910904,0.3863760987957715,-2.1627825456222394
0.2700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.0506259015192585,1.0178582273889294,-1.864945592131152,1.7277128367031325,0.3935279312939274,-2.165793640104605
0.2800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.056095831231238,1.032052302621857,-1.8400748418918946,1.7421875513391756,0.4058891586877737,-2.1640381637252863
0.2900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.061459954226333,1.0461563630488997,-1.8152053553707932,1.7572120836924408,0.422636466200295,-2.1580397152925115
0.3000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.066717183562025,1.0601681015136446,-1.790340739900979,1.7725833452094313,0.44303074694955125,-2.1482741127679095
